student,digit,scene,x1_bore,x2_bore,t1_bore,t2_bore,v_bore,d1_bore,d2_bore,v_bore_pred,x_neg,t_neg,v_neg,v_neg_pred,source
S01,0,dambreak,3.0,4.5,0.1297,0.5126,3.917,0.1674,0.626,3.817,1.0,0.3933,3.966,3.997,measured
S02,1,dambreak,3.5,5.0,0.2599,0.643,3.915,0.1674,0.606,3.708,1.0,0.3933,3.966,3.997,measured
S03,2,dambreak,4.0,5.5,0.3866,0.7786,3.827,0.1674,0.685,4.138,1.0,0.3933,3.966,3.997,measured
S04,3,dambreak,4.5,6.0,0.5126,0.9189,3.692,0.1674,0.735,4.411,1.0,0.3933,3.966,3.997,measured
S05,4,dambreak,5.0,6.5,0.643,1.0619,3.581,0.1674,0.715,4.301,1.0,0.3933,3.966,3.997,measured
S06,5,dambreak,5.5,7.0,0.7786,1.2033,3.532,0.1674,0.695,4.188,1.0,0.3933,3.966,3.997,measured
S07,6,dambreak,6.0,7.5,0.9189,1.3511,3.47,0.1674,0.69,4.161,1.0,0.3933,3.966,3.997,measured
S08,7,dambreak,6.5,8.0,1.0619,1.4992,3.431,0.1674,0.667,4.038,1.0,0.3933,3.966,3.997,measured
S09,8,dambreak,7.0,8.5,1.2033,1.6489,3.366,0.1674,0.661,4.004,1.0,0.3933,3.966,3.997,measured
S10,9,dambreak,7.5,9.0,1.3511,1.8004,3.339,0.1674,0.67,4.053,1.0,0.3933,3.966,3.997,measured
