student,digit,scene,T_s,amp_m,x1_m,x2_m,h_m,H_m,L_m,Ur,crest_above_mean_m,trough_below_mean_m,asymmetry,n_periods,note
sim00,0,waveshallow,3.0,0.25,1.0,1.8,0.3483,0.25032,5.4212,174.11,0.13791,0.1064,1.2059,18,
sim01,1,waveshallow,3.3,0.265,1.0,1.8,0.3483,0.20341,6.0356,175.37,0.11289,0.08983,1.2292,18,
sim02,2,waveshallow,3.6,0.28,1.0,1.8,0.3483,0.21262,6.4907,212.0,0.11417,0.09565,1.2294,18,
sim03,3,waveshallow,3.9,0.29,1.0,1.8,0.3483,0.21196,6.8782,237.32,0.1159,0.09302,1.1969,18,
sim04,4,waveshallow,4.2,0.3,1.0,1.8,0.3483,0.19743,7.5214,264.33,0.10853,0.08549,1.3071,18,
sim05,5,waveshallow,4.5,0.3,1.0,1.8,0.3483,0.20092,8.0105,305.13,0.1112,0.08549,1.3807,18,
sim06,6,waveshallow,4.8,0.3,1.0,1.8,0.3483,0.1856,8.5522,321.27,0.10324,0.08003,1.2936,18,
sim07,7,waveshallow,5.1,0.3,1.0,1.8,0.3483,0.17628,8.2654,285.02,0.10123,0.07533,1.3477,18,
sim08,8,waveshallow,5.5,0.3,1.0,1.8,0.3483,0.1602,8.8388,296.2,0.08888,0.07055,1.2617,18,
sim09,9,waveshallow,6,0.3,1.0,1.8,0.3483,0.15091,9.9865,356.19,0.08817,0.06406,1.3787,18,
low1,,waveshallow,3,0.04,1.0,1.8,0.3483,0.04991,5.3827,34.22,0.02888,0.02113,1.3471,18,"bonus calibration point, low amplitude (not a class digit)"
low2,,waveshallow,3,0.08,1.0,1.8,0.3483,0.08781,5.1951,56.09,0.04305,0.04107,1.0502,18,"bonus calibration point, low amplitude (not a class digit)"
low3,,waveshallow,3,0.15,1.0,1.8,0.3483,0.14001,5.0566,84.73,0.07523,0.06686,1.111,18,"bonus calibration point, low amplitude (not a class digit)"
