student,digit,scene,level,q,dHead,barrelHead,throatHead,a1,a2,source
sim01,0,venturi,1.70,0.6762,0.1066,0.7487,0.6421,0.6995,0.3975,measured
sim02,1,venturi,1.76,0.7805,0.1238,0.7781,0.6543,0.6995,0.3975,measured
sim03,2,venturi,1.82,0.8795,0.2321,0.8119,0.5798,0.6995,0.3975,measured
sim04,3,venturi,1.88,0.9968,0.3230,0.8417,0.5186,0.6995,0.3975,measured
sim05,4,venturi,1.94,1.0833,0.3859,0.8788,0.4929,0.6995,0.3975,measured
sim06,5,venturi,2.00,1.1803,0.4400,0.9387,0.4988,0.6995,0.3975,measured
sim07,6,venturi,2.06,1.2419,0.4185,0.9867,0.5682,0.6995,0.3975,measured
sim08,7,venturi,2.12,1.2208,0.4627,0.9835,0.5208,0.6995,0.3975,measured
sim09,8,venturi,2.18,1.3092,0.4184,0.9654,0.5470,0.6995,0.3760,measured
sim10,9,venturi,2.24,1.3599,0.4817,1.0287,0.5470,0.6995,0.3930,measured
