student,digit,zB0_m,Hjunction_early_m,qA,qC,qB,continuity,continuityPct,Hjunction_late_m
10000000,0,1.4328,1.0106,0.2030,0.1166,0.0375,0.0490,13.71,
10000001,1,1.3027,0.9309,0.2060,0.1075,0.0306,0.0679,19.73,
10000002,2,1.3461,0.9389,0.2054,0.1102,0.0329,0.0623,17.88,
10000003,3,1.5615,1.0830,0.2005,0.1225,0.0473,0.0306,8.27,
10000004,4,1.6070,1.0782,0.2003,0.1239,0.0490,0.0273,7.32,
10000005,5,1.9740,1.2446,0.1914,0.1408,0.0441,0.0066,1.74,
10000006,6,2.1484,1.3761,0.1875,0.1482,0.0345,0.0048,1.29,
10000007,7,2.2819,1.4482,0.1837,0.1545,0.0285,0.0007,0.19,
10000008,8,2.5410,1.6084,0.1760,0.1628,0.0020,0.0112,3.28,1.6785
10000009,9,2.7792,1.7815,0.1703,0.1670,-0.0177,0.0209,5.90,1.6842
