student,digit,presses,gap_cells,gap_m,q_spill,source
20250001,0,-4,2,0.0435,0.1430,student
20250002,1,-2,4,0.0870,0.2773,student
20250003,2,0,6,0.1304,0.4116,student
20250004,3,1,8,0.1739,0.5406,student
20250005,4,-4,2,0.0435,0.1430,student
20250006,5,-2,4,0.0870,0.2773,student
20250007,6,0,6,0.1304,0.4217,student
20250008,7,1,8,0.1739,0.5406,student
20250009,8,-4,2,0.0435,0.1430,student
20250010,9,-2,4,0.0870,0.2773,student
lecturer-3,,-3,3,0.0652,0.2112,lecturer
lecturer-5,,-1,5,0.1087,0.3419,lecturer
lecturer-7,,1,7,0.1522,0.4901,lecturer
