student,digit,lambda,q_base,q,level,P,h_gauge,H,H_cells,imbalance_pct,freeboard,source
23140870,0,1.00,0.60,0.600,1.795,0.6957,1.3023,0.6067,27.91,2.12,0.630,sim
23140871,1,0.50,0.66,0.235,1.165,0.3478,0.6722,0.3243,14.92,2.07,0.826,sim
23140872,2,0.25,0.72,0.090,0.840,0.1739,0.3461,0.1722,7.92,1.51,0.652,sim
23140873,3,1.00,0.78,0.780,1.890,0.6957,1.3898,0.6942,31.93,-0.04,0.130,sim
23140874,4,0.50,0.84,0.295,1.210,0.3478,0.7157,0.3678,16.92,0.60,0.826,sim
23140875,5,0.25,0.90,0.115,0.865,0.1739,0.3679,0.1940,8.92,0.64,0.652,sim
23140876,6,1.00,0.96,0.960,1.975,0.6957,1.4767,0.7811,35.93,1.27,0.152,sim
23140877,7,0.50,1.02,0.360,1.250,0.3478,0.7494,0.4016,18.47,-0.06,0.783,sim
23140878,8,0.25,1.08,0.135,0.880,0.1739,0.3879,0.2140,9.84,-1.49,0.652,sim
23140879,9,1.00,1.14,1.140,2.055,0.6957,1.5634,0.8677,39.92,1.97,0.109,sim
