student_id,digit,lambda,W_m,a_m,hStart_m,hStop_m,t_fall_s,Cd_backcalc
23140870,0,1.00,4.413,0.08696,1.8376,0.60,21.731,0.6126
23140871,1,0.75,3.283,0.06522,1.3564,0.45,19.053,0.5890
23140872,2,0.50,2.174,0.04348,0.8873,0.30,15.132,0.5882
23140873,3,0.25,1.043,0.02174,0.4594,0.15,10.117,0.6223
23140874,4,1.00,4.413,0.08696,1.8376,0.60,21.731,0.6126
23140875,5,0.75,3.283,0.06522,1.3564,0.45,19.053,0.5890
23140876,6,0.50,2.174,0.04348,0.8873,0.30,15.132,0.5882
23140877,7,0.25,1.043,0.02174,0.4594,0.15,10.117,0.6223
23140878,8,1.00,4.413,0.08696,1.8376,0.60,21.731,0.6126
23140879,9,0.75,3.283,0.06522,1.3564,0.45,19.053,0.5890
