digit,lambda,qbase,q,resolution,dx_mm,H,H_cells,Cd,mechanism,source
0,1,0.60,0.600,Medium,21.7391,0.6067,27.9,0.4054,lambda,DA1-original
1,0.5,0.66,0.235,Medium,21.7391,0.3243,14.9,0.4063,lambda,DA1-original
2,0.25,0.72,0.090,Medium,21.7391,0.1722,7.9,0.4021,lambda,DA1-original
3,1,0.78,0.780,Medium,21.7391,0.6942,31.9,0.4306,lambda,DA1-original
4,0.5,0.84,0.295,Medium,21.7391,0.3678,16.9,0.4223,lambda,DA1-original
5,0.25,0.90,0.115,Medium,21.7391,0.1940,8.9,0.4297,lambda,DA1-original
6,1,0.96,0.960,Medium,21.7391,0.7811,35.9,0.4440,lambda,DA1-original
7,0.5,1.02,0.360,Medium,21.7391,0.4016,18.5,0.4516,lambda,DA1-original
8,0.25,1.08,0.135,Medium,21.7391,0.2140,9.8,0.4354,lambda,DA1-original
9,1,1.14,1.140,Medium,21.7391,0.8677,39.9,0.4503,lambda,DA1-original
0,1,0.60,0.600,Low,31.5789,0.5965,18.89,0.4158,dx,DA3-rerun
1,0.5,0.66,0.2333,High,16.0428,0.3246,20.23,0.4028,dx,DA3-rerun
2,0.25,0.72,0.090,Low,31.5789,0.1655,5.24,0.4268,dx,DA3-rerun
3,1,0.78,0.780,High,16.0428,0.6991,43.58,0.4260,dx,DA3-rerun
4,0.5,0.84,0.297,Low,31.5789,0.3649,11.55,0.4302,dx,DA3-rerun
5,0.25,0.90,0.1125,High,16.0428,0.1937,12.08,0.4213,dx,DA3-rerun
6,1,0.96,0.960,Low,31.5789,0.7864,24.90,0.4395,dx,DA3-rerun
7,0.5,1.02,0.3606,High,16.0428,0.4104,25.58,0.4379,dx,DA3-rerun
8,0.25,1.08,0.135,Low,31.5789,0.2025,6.41,0.4730,dx,DA3-rerun
9,1,1.14,1.140,High,16.0428,0.8623,53.75,0.4546,dx,DA3-rerun
