student,digit,x,elevation,depth_h,bed_elev,ok_flag,source
S01,0,1,0.89111,0.55764,0.3325,1,measured
S02,1,2,0.89111,0.57091,0.3192,1,measured
S03,2,3,0.89111,0.58420,0.3059,1,measured
S04,3,4,0.89111,0.59750,0.2926,1,measured
S05,4,5,0.89111,0.61080,0.2793,1,measured
S06,5,6,0.89111,0.62409,0.2660,1,measured
S07,6,7,0.89111,0.63748,0.2527,1,measured
S08,7,8,0.89111,0.66401,0.2261,1,measured
S09,8,9,0.89111,0.67738,0.2128,1,measured
S10,9,10,0.89111,0.69093,0.1995,1,measured
S11,extra1,11,0.89111,0.70399,0.1862,1,measured
S12,extra2,12,0.89111,0.71724,0.1729,1,measured
S13,extra3,13,0.86451,0.70389,0.1596,0,measured
