student,digit,level_m,V1_ms,V2_ms,H1_m,H2_m,hL_m,bordaCarnot_m
sim00,0,3.45,2.2522,1.1049,2.8256,3.0093,0.0126,0.0671
sim01,1,3.485,2.3879,1.1702,2.8246,2.9686,0.0769,0.0756
sim02,2,3.52,2.4448,1.203,2.8322,2.9982,0.0649,0.0786
sim03,3,3.555,2.5071,1.2333,2.8187,3.0286,0.0329,0.0827
sim04,4,3.59,2.6298,1.3081,2.8348,3.0153,0.0848,0.089
sim05,5,3.625,2.6933,1.3222,2.8332,3.0213,0.0925,0.0958
sim06,6,3.66,2.7882,1.3695,2.847,3.0172,0.1305,0.1026
sim07,7,3.695,2.8534,1.4109,2.8398,3.0159,0.1374,0.1061
sim08,8,3.73,2.9097,1.4586,2.8259,3.0398,0.1092,0.1073
sim09,9,3.765,2.9914,1.4852,2.8472,3.0297,0.1611,0.1156
