student,digit,a_cells,a_m,q,level_m,d0_m,d1_m,Fr1,Cd,FR_N_per_m,naive_N_per_m,diff_pct,source
S01,0,5,0.1087,0.33,1.7603,1.2590,0.1100,3.043,0.6108,6812.0,6490.2,5.0,runner-headless
S02,1,5,0.1087,0.33,1.7603,1.2590,0.1100,3.043,0.6108,6812.0,6490.2,5.0,runner-headless
S03,2,6,0.1304,0.33,1.4160,0.9205,0.1224,2.479,0.5955,3311.2,3062.0,8.1,runner-headless
S04,3,6,0.1304,0.33,1.4160,0.9205,0.1224,2.479,0.5955,3311.2,3062.0,8.1,runner-headless
S05,4,6,0.1304,0.33,1.4160,0.9205,0.1224,2.479,0.5955,3311.2,3062.0,8.1,runner-headless
S06,5,7,0.1522,0.33,1.2175,0.7168,0.1406,2.006,0.5782,1800.6,1563.6,15.2,runner-headless
S07,6,7,0.1522,0.33,1.2175,0.7168,0.1406,2.006,0.5782,1800.6,1563.6,15.2,runner-headless
S08,7,7,0.1522,0.33,1.2175,0.7168,0.1406,2.006,0.5782,1800.6,1563.6,15.2,runner-headless
S09,8,8,0.1739,0.33,1.0854,0.5853,0.1604,1.642,0.5600,1061.3,830.2,27.8,runner-headless
S10,9,8,0.1739,0.33,1.0854,0.5853,0.1604,1.642,0.5600,1061.3,830.2,27.8,runner-headless
