student,v_ref_ms,v2_2g_m,stagnation_head_m,ratio,source
S01,4.497,1.0307,1.3028,1.264,simulated
S02,4.401,0.9872,1.2113,1.227,simulated
S03,4.519,1.0408,1.2157,1.168,simulated
S04,4.37,0.9733,1.0862,1.116,simulated
S05,4.447,1.0079,1.268,1.258,simulated
S06,4.466,1.0166,1.2473,1.227,simulated
S07,4.356,0.9671,1.2041,1.245,simulated
S08,4.475,1.0207,1.3228,1.296,simulated
S09,4.401,0.9872,1.1205,1.135,simulated
S10,4.351,0.9649,1.126,1.167,simulated
S11,4.535,1.0482,1.2621,1.204,simulated
S12,4.386,0.9805,1.1491,1.172,simulated
