student,digit,x0,x1,xmid,L,z0,z1,F_mm,h0,hm,h1,n_mid,n_lo,n_hi,K,Qhat1,hv0_mm,hv1_mm,Fe_mm,Qhat2,trueQ,source
sim01,0,1.0,9.0,5.0,8.0,0.886803,0.886909,-0.106,0.5577,0.6108,0.6773,0.0390,0.0076,0.0561,11.2676,,,,,,0.25,measured
sim02,1,1.5,9.5,5.5,8.0,0.887941,0.886952,0.989,0.5576,0.6241,0.6774,0.0363,0.0030,0.0680,12.5699,0.1398,3.203,2.171,2.022,0.1998,0.25,measured
sim03,2,2.0,10.0,6.0,8.0,0.887684,0.886884,0.800,0.5709,0.6241,0.6906,0.0377,0.0063,0.0703,12.0796,0.1208,2.281,1.559,1.522,0.1666,0.25,measured
sim04,3,2.5,10.5,6.5,8.0,0.887115,0.887305,-0.190,0.5744,0.6374,0.6906,0.0353,0.0054,0.0595,13.3762,,,,,,0.25,measured
sim05,4,3.0,11.0,7.0,8.0,0.887522,0.887042,0.480,0.5842,0.6392,0.7040,0.0382,0.0127,0.0627,12.4134,0.0962,1.382,0.951,0.911,0.1324,0.25,measured
sim06,5,3.5,11.5,7.5,8.0,0.887432,0.887389,0.043,0.5939,0.6507,0.7049,0.0474,0.0048,0.0743,10.3108,0.0238,0.082,0.058,0.066,0.0297,0.25,measured
sim07,6,4.0,12.0,8.0,8.0,0.886970,0.887912,-0.942,0.5975,0.6596,0.7173,0.0506,0.0037,0.0689,9.8696,,,,,,0.25,measured
sim08,7,4.5,12.5,8.5,8.0,0.887848,0.886617,1.231,0.6108,0.6640,0.7242,0.0468,0.0031,0.0812,10.7885,0.1338,2.447,1.741,1.937,0.1679,0.25,measured
sim09,8,1.0,9.0,5.0,8.0,0.886803,0.886909,-0.106,0.5577,0.6108,0.6773,0.0390,0.0076,0.0561,11.2676,,,,,,0.25,measured (repeat of d=0)
sim10,9,2.5,10.5,6.5,8.0,0.887115,0.887305,-0.190,0.5744,0.6374,0.6906,0.0353,0.0054,0.0595,13.3762,,,,,,0.25,measured (repeat of d=3)
