student,digit,x0,x1,xmid,L,z0,z1,F_mm,h0,hm,h1,n_mid,n_lo,n_hi,K,Qhat1,hv0_mm,hv1_mm,Fe_mm,Qhat2,trueQ,source
sim01,0,5.0,12.0,8.5,7.0,0.61914,0.54072,78.42,0.3539,0.3203,0.3065,0.0748,0.0431,0.0873,2.0046,0.2122,18.32,24.424,72.316,0.2037,0.25,measured
sim02,1,5.5,12.5,9.0,7.0,0.62678,0.5171,109.68,0.3446,0.3187,0.3185,0.0707,0.0367,0.089,2.1032,0.2633,29.749,34.824,104.605,0.2571,0.25,measured
sim03,2,6.0,13.0,9.5,7.0,0.62878,0.53359,95.19,0.3341,0.3184,0.3096,0.0716,0.0362,0.0907,2.0735,0.2418,26.697,31.089,90.798,0.2362,0.25,measured
sim04,3,6.5,13.5,10.0,7.0,0.62461,0.52321,101.4,0.318,0.3159,0.3128,0.0734,0.0385,0.0866,1.9963,0.2403,29.096,30.071,100.425,0.2391,0.25,measured
sim05,4,7.0,14.0,10.5,7.0,0.62033,0.50468,115.65,0.3238,0.3167,0.2946,0.0697,0.04,0.0895,2.1111,0.2714,35.795,43.243,108.203,0.2625,0.25,measured
sim06,5,7.5,14.5,11.0,7.0,0.61404,0.48588,128.16,0.317,0.3148,0.2724,0.0682,0.037,0.0866,2.136,0.289,42.369,57.379,113.15,0.2716,0.25,measured
sim07,6,8.0,15.0,11.5,7.0,0.60142,0.47271,128.71,0.318,0.3141,0.2756,0.0762,0.0481,0.0918,1.9047,0.2583,33.621,44.762,117.569,0.2468,0.25,measured
sim08,7,8.5,15.5,12.0,7.0,0.6051,0.44675,158.35,0.3203,0.3065,0.2554,0.075,0.044,0.0889,1.8578,0.2794,38.787,61.004,136.133,0.2591,0.25,measured
sim09,8,5.0,12.0,8.5,7.0,0.61914,0.54072,78.42,0.3539,0.3203,0.3065,0.0748,0.0431,0.0873,2.0046,0.2122,18.32,24.424,72.316,0.2037,0.25,measured (repeat of d=0)
sim10,9,5.5,12.5,9.0,7.0,0.62678,0.5171,109.68,0.3446,0.3187,0.3185,0.0707,0.0367,0.089,2.1032,0.2633,29.749,34.824,104.605,0.2571,0.25,measured (repeat of d=1)
