student,digit,scene,q,station_x,h,Sf,tau0,Dmin_mm,h_min,h_max,Sf_min,Sf_max,flatness_pct,source
sim00,0,s2,0.8,3.5,0.269,0.2109,556.45,613.88,0.2621,0.2764,0.1961,0.2261,2.887,measured
sim01,1,s2,0.84,3.5,0.2781,0.2134,582.2,642.29,0.2615,0.3003,0.1735,0.2388,10.67,measured
sim02,2,s2,0.88,3.5,0.2335,0.2028,464.44,512.37,0.198,0.2497,0.1469,0.2276,11.711,measured
sim03,3,s2,0.92,3.5,0.2914,0.2081,594.98,656.39,0.2821,0.3006,0.1866,0.2439,2.204,measured
sim04,4,s2,0.96,3.5,0.3288,0.2153,694.41,766.09,0.3233,0.335,0.1449,0.2499,1.057,measured
sim05,5,s2,1.0,3.5,0.2796,0.1778,487.78,538.12,0.2592,0.3009,0.1423,0.2241,7.657,measured
sim06,6,s2,1.04,3.5,0.292,0.2544,728.73,803.95,0.2794,0.3008,0.2113,0.2948,1.15,measured
sim07,7,s2,1.08,3.5,0.3518,0.2015,695.22,766.98,0.3189,0.3949,0.1627,0.2409,10.901,measured
sim08,8,s2,1.12,3.5,0.3494,0.2419,829.24,914.83,0.3321,0.3858,0.2198,0.2952,4.112,measured
sim09,9,s2,1.16,3.5,0.3092,0.2031,616.12,679.71,0.2992,0.3166,0.1892,0.221,0.859,measured
anchor-m2,,m2,0.25,6.9945,0.3359,0.0176,57.86,63.84,0.3344,0.3413,0.0123,0.0216,0.119,measured
