student,digit,spout_vx_ms,Q_m2s,H_m,sump_surf_m,tank_surf_m,vol_m2,source
S01,9,2.31,0.1729,1.4115,1.6304,2.9565,6.6843,measured
S02,8,2.22,0.1551,1.3182,1.6739,2.9783,6.6903,measured
S03,7,2.13,0.1381,1.2948,1.6522,2.9565,6.6393,measured
S04,6,2.04,0.1184,1.3030,1.6522,2.9348,6.6375,measured
S05,5,1.95,0.0875,1.2699,1.6739,2.9348,6.6084,measured
S06,4,1.86,0.0682,1.1778,1.7174,2.9130,6.6357,measured
S07,3,1.77,0.0520,1.1043,1.7609,2.8913,6.6712,measured
S08,2,1.68,0.0333,1.1142,1.7609,2.8696,6.6433,measured
S09,1,1.59,0.0212,1.0604,1.7826,2.8478,6.6629,measured
S10,0,1.50,0.0099,1.0054,1.8261,2.8261,6.6753,measured
