student_id,digit,eta1_m,eta2_m,h1_m,h2_m,t_pred_s,t_meas_s,err_pct
24300000,0,1.98,1.8,0.62,0.44,1.499,1.764,17.7
24300001,1,2.09,1.8,0.73,0.44,2.309,2.098,-9.1
24300002,2,2.2,1.8,0.84,0.44,3.059,2.51,-18.0
24300003,3,2.31,1.8,0.95,0.44,3.762,4.123,9.6
24300004,4,2.62,1.8,1.26,0.44,5.548,6.343,14.3
24300005,5,2.73,1.8,1.37,0.44,6.128,6.516,6.3
24300006,6,2.84,1.8,1.48,0.44,6.684,6.983,4.5
24300007,7,2.95,1.8,1.59,0.44,7.221,7.74,7.2
24300008,8,3.04,1.8,1.68,0.44,7.646,7.918,3.6
24300009,9,3.11,1.8,1.75,0.44,7.969,7.997,0.4
