student,digit,scene,q,dn,dn_min,dn_max,flatness_pct,dnGlobal,S0_overlay,n_overlay_median,n_back,source
sim00,0,s2,0.8,0.2359,0.2351,0.2362,0.266,0.2503,0.2447,0.0612,0.0563,measured
sim01,1,s2,0.84,0.2433,0.2426,0.2446,0.506,0.2581,0.2447,0.0516,0.0564,measured
sim02,2,s2,0.88,0.2582,0.2579,0.2585,0.065,0.274,0.2447,0.0611,0.0595,measured
sim03,3,s2,0.92,0.2658,0.2646,0.2661,0.198,0.282,0.2447,0.0547,0.0597,measured
sim04,4,s2,0.96,0.261,0.2591,0.2636,1.032,0.2769,0.2447,0.0565,0.0555,measured
sim05,5,s2,1,0.2773,0.2766,0.2779,0.242,0.2942,0.2447,0.062,0.059,measured
sim06,6,s2,1.04,0.2848,0.2844,0.285,0.073,0.3022,0.2447,0.0738,0.0593,measured
sim07,7,s2,1.08,0.3017,0.3,0.3031,0.461,0.3202,0.2447,0.075,0.0628,measured
sim08,8,s2,1.12,0.2973,0.2966,0.2975,0.088,0.3155,0.2447,0.0625,0.0591,measured
sim09,9,s2,1.16,0.3097,0.3076,0.31,0.41,0.3286,0.2447,0.0481,0.0611,measured
