student_id,digit,level_m,H_m,l_m,umax_ms,t90_s,k,tau_s,source
24312340,0,22.00,18.5183,49.0,1.8974,0.4563,100.918,0.2559,measured
24312341,1,22.60,19.0688,49.0,2.0017,0.4726,93.371,0.2622,measured
24312342,2,23.20,19.7569,49.0,1.9812,0.4563,98.755,0.2504,measured
24312343,3,23.80,20.3073,49.0,2.0415,0.4563,95.595,0.2511,measured
24312344,4,24.40,20.8578,49.0,1.8840,0.4400,115.293,0.2256,measured
24312345,5,25.00,21.5459,49.0,2.0419,0.4563,101.385,0.2367,measured
24312346,6,25.60,22.0963,49.0,2.0866,0.4563,99.576,0.2358,measured
24312347,7,26.20,22.6468,49.0,2.0444,0.4400,106.313,0.2254,measured
24312348,8,26.80,23.3349,49.0,2.1921,0.4563,95.277,0.2346,measured
24312349,9,27.40,23.8853,49.0,2.2378,0.4563,93.579,0.2340,measured
