student_id,digit,level_m,v0_ms,rest_level_m,T_s,c1_m,c2_m,c3_m,c4_m,c5_m
24300000,0,10,0.8283,9.953,9.621,2.267,1.513,1.144,0.912,0.706
24301113,1,10.4,0.8692,10.34,9.922,2.370,1.564,1.161,0.957,0.797
24302226,2,10.8,0.8861,10.651,9.922,2.403,1.566,1.122,0.934,0.754
24303339,3,11.2,0.9211,11.068,9.922,2.467,1.666,1.174,0.940,0.792
24304452,4,11.6,0.9458,11.471,9.922,2.534,1.722,1.243,1.037,0.819
24305565,5,12,0.9545,11.884,10.223,2.567,1.690,1.197,0.956,0.767
24306678,6,12.4,0.9826,12.281,10.223,2.615,1.758,1.251,0.961,0.836
24307791,7,12.8,0.994,12.678,10.223,2.618,1.769,1.246,1.035,0.857
24308904,8,13.2,1.0173,13.065,10.223,2.663,1.766,1.267,0.986,0.867
24310017,9,13.6,1.0384,13.488,10.223,2.716,1.805,1.308,1.036,0.846
